id,Attrition
1677,0.2983781746031745
1678,0.09295317460317458
1679,0.050698015873015874
1680,0.038743253968253975
1681,0.5344238095238094
1682,0.1688186507936508
1683,0.040989682539682555
1684,0.2290015873015872
1685,0.08367420634920639
1686,0.1780703007518797
1687,0.035401587301587295
1688,0.31873989139515435
1689,0.06644444444444447
1690,0.0435373015873016
1691,0.2229865079365078
1692,0.2607189033189033
1693,0.1577230158730159
1694,0.15506309523809528
1695,0.4541011904761902
1696,0.14436944444444452
1697,0.2889194444444445
1698,0.07407976190476193
1699,0.1738996031746031
1700,0.0740087301587302
1701,0.2643146825396823
1702,0.06552539682539686
1703,0.09554246031746036
1704,0.0621936507936508
1705,0.0715246031746032
1706,0.04447063492063493
1707,0.10816666666666672
1708,0.05731349206349207
1709,0.13287579365079372
1710,0.27682142857142833
1711,0.17805833333333332
1712,0.5010309523809521
1713,0.04020515873015875
1714,0.18726944444444452
1715,0.028225396825396824
1716,0.12937182539682548
1717,0.08141388888888891
1718,0.10152103174603179
1719,0.048718253968253994
1720,0.025304365079365076
1721,0.4011436507936508
1722,0.09223611111111116
1723,0.02358968253968253
1724,0.1615825396825395
1725,0.09775277777777774
1726,0.10021984126984128
1727,0.07372063492063492
1728,0.11711746031746026
1729,0.06017579365079366
1730,0.0184281746031746
1731,0.058521428571428585
1732,0.3376515873015873
1733,0.05300714285714287
1734,0.14917261904761897
1735,0.1170654761904762
1736,0.09741825396825396
1737,0.09065436507936507
1738,0.08225158730158735
1739,0.046927380952380957
1740,0.008556349206349206
1741,0.08381269841269844
1742,0.04100634920634922
1743,0.15873650793650804
1744,0.07875714285714289
1745,0.0276297619047619
1746,0.01359880952380952
1747,0.12351904761904761
1748,0.03117936507936507
1749,0.06530476190476192
1750,0.19117936507936506
1751,0.30148333333333316
1752,0.08471230158730159
1753,0.051387301587301606
1754,0.29046746031746035
1755,0.012778968253968253
1756,0.15846111111111102
1757,0.04757142857142859
1758,0.020204365079365075
1759,0.06578412698412701
1760,0.1153448412698413
1761,0.012636507936507937
1762,0.08136031746031752
1763,0.04428611111111111
1764,0.11454166666666674
1765,0.16130753968253972
1766,0.11212380952380956
1767,0.03707103174603174
1768,0.47684722222222214
1769,0.23557301587301605
1770,0.1520988095238095
1771,0.15631388888888886
1772,0.014397619047619046
1773,0.1849242063492063
1774,0.17755753968253962
1775,0.05607777777777781
1776,0.005640079365079364
1777,0.0895265873015874
1778,0.5195174603174603
1779,0.10224484126984132
